city,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
heihe,2019-01-01,优,42,85,13,25,13,10,0.44,70
heihe,2019-01-02,优,37,55,9,19,9,7,0.44,71
heihe,2019-01-03,优,50,97,22,49,27,20,0.81,47
heihe,2019-01-04,优,50,110,24,52,13,18,0.86,36
heihe,2019-01-05,优,40,77,14,39,12,12,0.70,55
heihe,2019-01-06,优,45,93,20,47,16,15,0.76,51
heihe,2019-01-07,良,56,111,24,63,22,19,0.98,35
heihe,2019-01-08,优,33,59,10,30,18,9,0.60,59
heihe,2019-01-09,优,36,75,12,33,18,13,0.56,50
heihe,2019-01-10,优,42,107,18,43,13,16,0.62,49
heihe,2019-01-11,良,57,139,27,63,25,25,0.88,33
heihe,2019-01-12,良,51,97,25,55,12,19,0.73,34
heihe,2019-01-13,优,42,54,15,42,10,12,0.60,39
heihe,2019-01-14,良,55,78,25,61,22,18,0.80,30
heihe,2019-01-15,优,34,28,11,29,12,8,0.52,57
heihe,2019-01-16,优,41,64,15,40,9,6,0.54,54
heihe,2019-01-17,优,36,25,13,34,10,7,0.54,57
heihe,2019-01-18,优,49,54,23,53,26,20,0.81,43
heihe,2019-01-19,优,46,54,20,48,14,14,0.70,44
heihe,2019-01-20,优,39,45,15,39,14,12,0.65,51
heihe,2019-01-21,优,49,82,22,53,24,19,0.85,36
heihe,2019-01-22,良,60,77,33,69,19,27,0.99,21
heihe,2019-01-23,优,36,18,14,35,10,9,0.58,52
heihe,2019-01-24,优,39,19,14,38,8,8,0.56,54
heihe,2019-01-25,优,36,23,13,35,9,9,0.57,59
heihe,2019-01-26,优,45,55,19,46,22,16,0.75,49
heihe,2019-01-27,良,55,69,26,60,14,19,0.87,39
heihe,2019-01-28,优,38,11,17,40,13,13,0.71,49
heihe,2019-01-29,良,54,82,28,62,23,18,0.97,39
heihe,2019-01-30,优,47,63,17,48,9,7,0.63,45
heihe,2019-01-31,优,36,33,14,35,9,8,0.60,50
heihe,2019-02-01,优,43,74,19,44,15,15,0.77,40
heihe,2019-02-02,良,56,89,28,63,25,16,0.83,37
heihe,2019-02-03,优,47,61,16,48,12,9,0.65,49
heihe,2019-02-04,优,46,57,25,48,20,10,0.74,46
heihe,2019-02-05,优,48,34,25,51,13,7,0.57,50
heihe,2019-02-06,优,34,21,16,32,10,7,0.46,52
heihe,2019-02-07,优,38,75,19,35,10,9,0.51,52
heihe,2019-02-08,优,36,103,15,27,11,10,0.46,60
heihe,2019-02-09,优,37,92,14,27,13,7,0.39,65
heihe,2019-02-10,优,36,101,15,26,11,9,0.46,63
heihe,2019-02-11,优,32,61,12,23,10,9,0.48,60
heihe,2019-02-12,优,38,73,16,26,11,11,0.54,63
heihe,2019-02-13,优,34,59,12,19,8,7,0.43,66
heihe,2019-02-14,优,33,55,14,20,11,9,0.47,63
heihe,2019-02-15,优,33,67,14,26,10,10,0.53,60
heihe,2019-02-16,优,35,67,8,17,7,4,0.44,70
heihe,2019-02-17,优,39,97,11,22,9,6,0.44,74
heihe,2019-02-18,优,43,140,19,43,22,13,0.63,53
heihe,2019-02-19,良,74,198,46,79,19,14,0.56,55
heihe,2019-02-20,优,46,90,19,48,16,11,0.61,48
heihe,2019-02-21,优,38,75,17,37,12,12,0.56,53
heihe,2019-02-22,优,37,69,13,35,10,10,0.53,56
heihe,2019-02-23,优,44,87,20,47,22,13,0.64,54
heihe,2019-02-24,优,38,73,13,34,8,4,0.44,66
heihe,2019-02-25,优,32,28,10,22,8,6,0.46,62
heihe,2019-02-26,优,32,19,12,23,14,7,0.51,60
heihe,2019-02-27,良,98,267,71,101,15,14,0.82,67
heihe,2019-02-28,优,46,84,27,45,17,16,0.65,56
heihe,2019-03-01,优,38,45,13,25,10,10,0.52,66
heihe,2019-03-02,优,50,127,25,52,12,15,0.71,53
heihe,2019-03-03,优,46,109,25,45,19,13,0.65,62
heihe,2019-03-04,优,44,53,22,45,13,12,0.67,59
heihe,2019-03-05,优,39,59,14,34,9,5,0.48,73
heihe,2019-03-06,优,40,91,12,30,9,7,0.52,74
heihe,2019-03-07,优,39,76,13,29,13,10,0.58,66
heihe,2019-03-08,优,48,88,15,52,16,10,0.64,59
heihe,2019-03-09,优,48,104,13,42,11,6,0.42,79
heihe,2019-03-10,优,46,92,16,44,23,11,0.55,56
heihe,2019-03-11,优,42,35,16,40,11,9,0.56,61
heihe,2019-03-12,优,39,16,9,33,9,4,0.45,71
heihe,2019-03-13,优,37,12,13,26,7,6,0.45,71
heihe,2019-03-14,优,38,20,11,24,7,7,0.45,76
heihe,2019-03-15,优,45,61,15,31,8,9,0.48,79
heihe,2019-03-16,优,47,50,20,44,12,12,0.57,69
heihe,2019-03-17,优,47,55,13,31,17,12,0.57,80
heihe,2019-03-18,优,46,49,15,41,9,11,0.55,80
heihe,2019-03-19,优,48,47,12,46,6,10,0.52,69
heihe,2019-03-20,优,45,36,12,32,8,8,0.51,86
heihe,2019-03-21,优,41,47,10,26,7,6,0.52,82
heihe,2019-03-22,优,42,104,9,20,7,5,0.45,82
heihe,2019-03-23,优,41,117,14,18,11,6,0.52,80
heihe,2019-03-24,良,59,173,39,61,9,11,0.65,74
heihe,2019-03-25,良,64,183,41,65,8,13,0.72,71
heihe,2019-03-26,优,40,24,10,24,8,5,0.46,77
heihe,2019-03-27,优,40,25,9,22,6,5,0.49,78
heihe,2019-03-28,优,40,35,9,18,6,6,0.47,78
heihe,2019-03-29,优,39,25,11,19,7,8,0.42,77
heihe,2019-03-30,优,44,49,21,33,7,10,0.42,75
