兴安盟	xinganmeng
广州	guangzhou
淮南	huainan
拉萨	lasa
资阳	ziyang
大连	dalian
宿州	anhuisuzhou
珠海	zhuhai
昭通	zhaotong
胶南	jiaonan
丹东	dandong
马鞍山	maanshan
延安	yanan
海东	haidong
天津	tianjin
岳阳	yueyang
临汾	linfen
巢湖	chaohu
玉溪	yuxi
北海	beihai
通化	tonghua
阜新	fuxin
吉林	jilin
巴中	bazhong
长治	changzhi
广安	guangan
晋中	jinzhong
固原	nxguyuan
安康	ankang
福州	fujianfuzhou
无锡	wuxi
亳州	bozhou
崇左	chongzuo
包头	baotou
濮阳	puyang
株洲	zhuzhou
杭州	hangzhou
鹤壁	hebi
荆门	jingmen
萍乡	pingxiang
鄂尔多斯	eerduosi
通辽	tongliao
句容	jurong
周口	zhoukou
甘南	gannan
乌鲁木齐	wulumuqi
克拉玛依	kelamayi
思茅	simao
酒泉	jiuquan
扬州	yangzhou
泸州	luzhou
太原	taiyuan
莆田	putian
武汉	wuhan
宿迁	suqian
驻马店	zhumadian
泉州	quanzhou
南充	nanchong
桂林	guilin
遂宁	scsuining
汉中	hanzhong
二连浩特	erlianhaote
秦皇岛	qinhuangdao
三明	sanming
中山	zhongshan
双鸭山	shuangyashan
辽源	liaoyuan
滨州	binzhou
黄南	huangnan
深圳	shenzhen
莱州	laizhou
西安	xian
龙岩	longyan
普洱	puer
德州	dezhou
乐山	leshan
临安	linan
泰安	taian
白城	baicheng
伊春	yichun
鞍山	anshan
天水	tianshui
来宾	laibin
温州	wenzhou
衢州	quzhou
吴江	wujiang
商丘	shangqiu
河源	heyuan
毕节	bijie
南阳	nanyang
安阳	anyang
文登	wendeng
襄阳	xiangyang
玉树	yushu
金华	jinhua
海门	haimen
黄石	huangshi
石嘴山	shizuishan
贵阳	guiyang
防城港	fangchenggang
宁波	ningbo
博州	xjbozhou
呼伦贝尔	hulunbeier
六安	liuan
怀化	huaihua
临沂	linyi
新余	xinyu
汕尾	shanwei
黄冈	huanggang
河池	hechi
娄底	loudi
张家口	zhangjiakou
滁州	chuzhou
唐山	tangshan
蚌埠	bangbu
宁德	ningde
宜春	jxyichun
成都	chengdu
商洛	shanglv
日照	rizhao
铜仁	tongren
合肥	hefei
荆州	jingzhou
宜兴	yixing
甘孜	ganzi
内江	neijiang
兰州	lanzhou
嘉兴	jiaxing
寿光	shouguang
永州	yongzhou
克州	kezhou
景德镇	jingdezhen
菏泽	heze
榆林	yulin
郴州	chenzhou
梧州	wuzhou
梅州	meizhou
